#{"t_start": 1681589495.8931258, "env_id": null}
r,l,t
15.528148,83,1.449597
-39.128889,13,1.467125
-37.54,54,1.530255
-3.096667,151,1.712763
-26.881111,127,1.864618
-27.182222,119,2.007897
-97.214444,44,2.061174
-15.335926,73,2.145384
-28.00037,110,2.269794
-98.720741,22,2.297272
-97.331852,47,2.349051
-1.051111,67,2.421928
7.694074,151,2.613962
-28.488889,25,2.643766
-97.862963,35,2.685241
-99.431852,14,2.699555
-98.919286,123,2.832892
-34.366667,136,2.980577
2.194815,151,3.133286
-99.352593,16,3.152076
-74.404444,99,3.251953
8.068889,151,3.420456
-35.462222,106,3.53272
-97.902222,42,3.577607
-97.752222,43,3.627681
-96.062222,83,3.717457
-96.480741,100,3.825799
-97.343704,66,3.898008
-98.012593,62,3.963169
-97.306296,92,4.05996
-97.907407,49,4.112702
-80.601481,102,4.221887
-96.582222,93,4.319132
-67.717407,143,4.470941
-96.084444,104,4.580956
7.032593,151,4.759688
-98.278519,28,4.790708
-5.183333,77,4.874903
-76.836296,54,4.935089
-19.637778,87,5.04649
-82.37037,44,5.093461
-72.20963,48,5.145231
-72.042222,134,5.292295
-92.092593,137,5.437754
-99.536296,11,5.449432
-28.554074,23,5.472767
-98.877778,25,5.499322
-24.280741,96,5.602386
83.251111,151,5.762363
-33.425926,110,5.887617
-20.22,77,5.968029
-29.084074,13,5.983077
-43.688148,21,6.005077
-8.122222,30,6.037113
-39.798889,82,6.121299
-67.231852,44,6.168403
-54.177037,102,6.28298
-73.636296,116,6.404885
22.958519,151,6.562177
0.45037,87,6.65508
-43.141481,30,6.689435
-98.877778,23,6.717233
-97.838519,36,6.757177
60.088148,80,6.855601
